UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
156426,"R",48,"R",0,"R",48,"R",2,"R",33,"R",0,"R",0,"R",15,"R",20,"Z",0,"R",20,"R",10,"R",8,"Z",0,"R",8,"R",8,"R",20,"Z",0,"R",20,"R",15
156754,"R",7,"R",0,"R",7,"R",0,"R",1,"R",0,"R",0,"R",6,"R",6,"Z",0,"R",6,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
156842,"R",67,"R",0,"R",67,"R",2,"R",56,"R",0,"R",0,"R",11,"R",32,"Z",0,"R",32,"R",24,"R",12,"Z",0,"R",12,"R",11,"R",23,"Z",0,"R",23,"R",21
156967,"R",28,"R",0,"R",28,"R",13,"R",13,"Z",0,"Z",0,"R",15,"R",21,"Z",0,"R",21,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",6,"Z",0,"R",6,"R",4
157614,"R",30,"R",0,"R",30,"R",0,"R",16,"R",0,"R",1,"R",13,"R",27,"Z",0,"R",27,"R",15,"R",1,"Z",0,"R",1,"R",0,"R",2,"Z",0,"R",2,"R",1
157650,"R",44,"R",0,"R",44,"R",1,"R",23,"R",0,"R",2,"R",19,"R",37,"Z",0,"R",37,"R",19,"R",6,"Z",0,"R",6,"R",3,"R",1,"Z",0,"R",1,"R",1
157669,"R",49,"R",0,"R",49,"R",0,"R",22,"R",0,"R",1,"R",26,"R",43,"Z",0,"R",43,"R",17,"R",2,"Z",0,"R",2,"R",2,"R",4,"Z",0,"R",4,"R",3
157678,"R",53,"R",0,"R",53,"R",2,"R",23,"R",0,"R",2,"R",28,"R",42,"Z",0,"R",42,"R",16,"R",9,"Z",0,"R",9,"R",6,"R",2,"Z",0,"R",2,"R",1
158246,"R",132,"R",0,"R",132,"R",95,"R",96,"R",0,"R",0,"R",36,"R",109,"Z",0,"R",109,"R",77,"R",6,"Z",0,"R",6,"R",4,"R",17,"Z",0,"R",17,"R",15
158538,"R",2,"R",0,"R",2,"R",0,"R",1,"R",0,"R",1,"R",0,"R",2,"Z",0,"R",2,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
158617,"R",298,"R",0,"R",298,"R",175,"R",219,"R",0,"R",0,"R",79,"R",168,"Z",0,"R",168,"R",168,"R",51,"Z",0,"R",51,"R",51,"R",79,"Z",0,"R",79,"R",0
158778,"R",29,"R",0,"R",29,"R",0,"R",4,"R",1,"R",0,"R",24,"R",29,"Z",0,"R",29,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
158787,"R",14,"R",0,"R",14,"R",0,"R",5,"R",0,"R",4,"R",5,"R",10,"Z",0,"R",10,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",4,"Z",0,"R",4,"R",3
159027,"R",22,"Z",0,"R",22,"R",9,"R",10,"R",0,"R",0,"R",12,"R",14,"Z",0,"R",14,"R",8,"R",2,"Z",0,"R",2,"R",2,"R",6,"Z",0,"R",6,"R",0
159328,"R",16,"R",0,"R",16,"R",3,"R",13,"R",0,"R",0,"R",3,"R",7,"Z",0,"R",7,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",9,"Z",0,"R",9,"R",8
159513,"R",44,"R",0,"R",44,"R",0,"R",32,"R",0,"R",0,"R",12,"R",31,"Z",0,"R",31,"R",21,"R",8,"Z",0,"R",8,"R",7,"R",5,"Z",0,"R",5,"R",4
159522,"R",31,"R",0,"R",31,"R",4,"R",27,"R",0,"R",0,"R",4,"R",25,"Z",0,"R",25,"R",25,"R",6,"Z",0,"R",6,"R",2,"R",0,"Z",0,"R",0,"R",0
159531,"R",9,"Z",0,"R",9,"R",9,"R",9,"R",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3,"R",3,"Z",0,"R",3,"R",3,"R",3,"Z",0,"R",3,"R",3
159601,"R",27,"R",0,"R",27,"R",5,"R",16,"R",0,"R",0,"R",11,"R",16,"Z",0,"R",16,"R",10,"R",11,"Z",0,"R",11,"R",6,"R",0,"Z",0,"R",0,"R",0
160117,"R",36,"R",0,"R",36,"R",2,"R",19,"R",0,"R",0,"R",17,"R",19,"Z",0,"R",19,"R",14,"R",7,"Z",0,"R",7,"R",5,"R",10,"Z",0,"R",10,"R",0
160126,"R",5,"Z",0,"R",5,"R",0,"R",4,"Z",0,"R",0,"R",1,"R",5,"Z",0,"R",5,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
160199,"R",17,"R",0,"R",17,"R",1,"R",13,"R",0,"R",0,"R",4,"R",12,"Z",0,"R",12,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",5,"Z",0,"R",5,"R",3
160320,"R",691,"R",0,"R",691,"R",83,"R",516,"R",3,"R",0,"R",172,"R",432,"Z",0,"R",432,"R",309,"R",64,"Z",0,"R",64,"R",52,"R",195,"Z",0,"R",195,"R",155
160472,"R",148,"R",0,"R",148,"R",3,"R",58,"R",2,"R",17,"R",71,"R",104,"Z",0,"R",104,"R",56,"R",5,"Z",0,"R",5,"R",2,"R",39,"Z",0,"R",39,"R",0
160597,"R",4,"R",0,"R",4,"R",0,"R",2,"R",0,"R",0,"R",2,"R",4,"Z",0,"R",4,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
161493,"R",60,"R",0,"R",60,"R",0,"R",35,"R",0,"R",2,"R",23,"R",51,"Z",0,"R",51,"R",29,"R",4,"Z",0,"R",4,"R",2,"R",5,"Z",0,"R",5,"R",4
161527,"R",80,"R",0,"R",80,"R",25,"R",65,"R",0,"R",0,"R",15,"R",46,"Z",0,"R",46,"R",35,"R",22,"Z",0,"R",22,"R",19,"R",12,"Z",0,"R",12,"R",11
161800,"R",33,"R",0,"R",33,"R",17,"R",17,"R",0,"R",0,"R",16,"R",31,"Z",0,"R",31,"R",16,"R",2,"Z",0,"R",2,"R",1,"R",0,"Z",0,"R",0,"R",0
161855,"R",7,"R",0,"R",7,"R",5,"R",5,"R",0,"R",0,"R",2,"R",7,"Z",0,"R",7,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
162335,"R",9,"R",0,"R",9,"R",0,"R",5,"Z",0,"Z",0,"R",4,"R",6,"Z",0,"R",6,"R",3,"R",1,"Z",0,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",1
