UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
139144,1 ,2,"R",240656,"R",1729428,"R",370,"R",6350,"R",200035,"R",7099,"R",127165,"R",254105,"R",2056998,"R",2311103,"R",11596,"R",243089,"R",254685,1,"R",2762,"R",1116,1,"R",21,"R",5,"R",5,"R",0,"R",11,"R",0,"R",521075,1,"R",149326,"R",49194,"R",794272,"R",0,"R",843466,"R",0,"R",149863,"R",149863,"R",1663730,1514404
139153,2 ,2,"R",45165,"R",0,"R",150,"R",126,"R",0,"R",30,"R",20912,"R",45321,"R",21062,"R",66383,"R",1200,"R",39358,"R",40558,1,"R",0,"R",0,1,"R",2,"R",1,"R",1,"R",0,"R",0,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
139199,1 ,2,"R",71272,"R",677866,"R",180,"R",2406,"R",12426,"R",675,"R",104462,"R",74353,"R",794934,"R",869287,"R",730,"R",13767,"R",14497,1,"R",951,"R",527,1,"R",13,"R",6,"R",0,"R",2,"R",5,"R",1,"R",451565,2,"R",0,"R",2330,"R",181415,"R",0,"R",183745,"R",0,"R",41897,"R",41897,"R",677207,677207
139205,1 ,2,"R",84630,"R",0,"R",253,"R",0,"R",0,"R",0,"R",0,"R",84630,"R",253,"R",84883,"R",1040,"R",31359,"R",32399,1,"R",22,"R",1060,1,"R",6,"R",2,"R",0,"R",0,"R",4,"R",1,"R",60965,1,"R",8416,"R",0,"R",54907,"R",0,"R",54907,"R",0,"R",0,"R",0,"R",124288,115872
139250,1 ,2,"R",58345,"R",150432,"Z",0,"R",1332,"R",0,"R",260,"R",133431,"R",59937,"R",283863,"R",343800,"R",5500,"R",90029,"R",95529,1,"R",466,"R",654,1,"R",17,"R",6,"R",6,"R",0,"R",5,"R",2,"R",480901,2,"Z",0,"R",25060,"R",99131,"R",10809,"R",135000,"R",25230,"R",92122,"R",117352,"R",733253,733253
139278,1 ,2,"R",37645,"R",436475,"R",4,"R",1128,"R",3800,"R",133,"R",66264,"R",38906,"R",506543,"R",545449,"R",678,"R",193,"R",871,1,"R",24,"R",7,1,"R",12,"R",9,"R",1,"R",2,"R",0,"R",4,"R",469305,1,"R",250347,"R",27154,"R",53343,"R",1572,"R",82069,"R",2593,"R",4311,"R",6904,"R",808625,558278
139311,1 ,2,"R",71774,"R",685359,"R",265,"R",8403,"R",39103,"R",1581,"R",52929,"R",81758,"R",777656,"R",859414,"R",1170,"R",602974,"R",604144,1,"R",1148,"R",496,1,"R",14.5,"R",9.5,"R",0,"R",4,"R",1,"R",0,"R",914328,1,"R",320092,"R",168717,"R",295211,"R",0,"R",463928,"R",2392,"R",31225,"R",33617,"R",1731965,1411873
139348,1 ,2,"R",154543,"R",35131,"R",111,"R",1425,"R",58,"R",12351,"R",566,"R",168319,"R",35866,"R",204185,"R",4985,"R",20522,"R",25507,1,"R",211,"R",178,1,"R",15,"R",7,"R",2,"R",2,"R",4,"R",0,"R",519778,1,"R",235961,"R",88765,"R",76537,"R",104477,"R",269779,"R",26567,"R",63008,"R",89575,"R",1115093,879132
139357,1 ,2,"R",28632,"R",498229,"R",275,"R",973,"R",58470,"R",47,"R",89372,"R",29652,"R",646346,"R",675998,"R",587,"R",76690,"R",77277,1,"R",24,"R",6,1,"R",8,"R",3,"R",1,"R",3,"R",1,"R",0,"R",262884,1,"R",69761,"R",12700,"R",69602,"R",8380,"R",90682,"R",0,"R",1448,"R",1448,"R",424775,355014
139366,1 ,2,"R",201395,"R",320754,"R",236,"R",124735,"R",215963,"R",193,"R",88810,"R",326323,"R",625763,"R",952086,"R",16479,"R",58088,"R",74567,1,"R",1845,"R",515,1,"R",23.25,"R",7,"R",2.25,"R",10,"R",4,"R",1,"R",1279276,1,"R",425699,"R",403262,"R",11875,"R",1637,"R",416774,"R",75,"R",745,"R",820,"R",2122569,1696870
139384,1 ,2,"R",34416,"R",815339,"R",245,"R",4434,"R",124233,"R",72,"R",79263,"R",38922,"R",1019080,"R",1058002,"R",1138,"R",173576,"R",174714,1,"R",4,"R",3,1,"R",10,"R",6,"R",0,"R",4,"R",0,"R",6,"R",428591,2,"Z",0,"R",62329,"R",137210,"R",0,"R",199539,"R",0,"R",47236,"R",47236,"R",675366,675366
139393,1 ,2,"R",68361,"R",227,"R",296,"R",4829,"R",0,"R",94,"R",10,"R",73284,"R",533,"R",73817,"R",3970,"R",44909,"R",48879,1,"R",381,"R",387,1,"R",7,"R",1,"R",3,"R",0,"R",3,"R",0,"R",197557,2,"Z",0,"R",59207,"R",48336,"R",0,"R",107543,"R",1813,"R",217188,"R",219001,"R",524101,524101
139463,1 ,2,"R",132010,"R",496935,"R",285,"R",6048,"R",108280,"R",0,"R",33087,"R",138058,"R",638587,"R",776645,"R",2526,"R",250167,"R",252693,1,"R",121,"R",107,1,"R",6.98,"R",5,"R",1,"R",0.48,"R",0.5,"R",1,"R",331320,1,"R",124189,"R",7755,"R",126341,"R",10040,"R",144136,"R",0,"R",6502,"R",6502,"R",606147,481958
139579,1 ,2,"R",40704,"R",581930,"R",100,"R",348,"R",79084,"R",220,"R",148816,"R",41272,"R",809930,"R",851202,"R",314,"R",44417,"R",44731,1,"R",50,"R",60,1,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",75397,1,"R",6371,"R",0,"R",121760,"R",8139,"R",129899,"R",0,"R",0,"R",0,"R",211667,205296
139621,1 ,2,"R",47213,"R",586577,"R",277,"R",1653,"R",37970,"R",41,"R",45563,"R",48907,"R",670387,"R",719294,"R",1172,"R",91650,"R",92822,1,"R",101,"R",24,1,"R",8,"R",2,"R",1,"R",0,"R",5,"R",0,"R",154987,1,"R",46078,"R",7643,"R",32916,"R",4784,"R",45343,"R",0,"R",20029,"R",20029,"R",266437,220359
139630,1 ,2,"R",36163,"R",50769,"R",119,"R",487,"R",15,"R",0,"R",2832,"R",36650,"R",53735,"R",90385,"R",5385,"R",23894,"R",29279,1,"R",195,"R",66,1,"R",9.5,"R",1,"R",0,"R",1.5,"R",7,"R",0,"R",110723,2,"Z",0,"R",2352,"R",8284,"R",31,"R",10667,"R",0,"R",24745,"R",24745,"R",146135,146135
139658,1 ,2,"R",2470306,"R",1882258,"R",1089,"R",181101,"R",278884,"R",66328,"R",463824,"R",2717735,"R",2626055,"R",5343790,"R",51205,"R",2121893,"R",2173098,1,"R",15984,"R",5935,1,"R",364,"R",116,"R",98,"R",65,"R",85,"R",8,"R",18721475,1,"R",4944960,"R",6582078,"R",14850233,"R",38637,"R",21470948,"R",209544,"R",6714926,"R",6924470,"R",52061853,47116893
139700,1 ,2,"R",54565,"R",634659,"R",317,"R",451,"R",41502,"R",0,"R",17,"R",55016,"R",676495,"R",731511,"R",1399,"R",630985,"R",632384,1,"R",104,"R",90,1,"R",16,"R",7.5,"R",5,"R",0,"R",3.5,"R",4,"R",547862,1,"R",182061,"R",18628,"R",87726,"R",2360,"R",108714,"R",0,"R",38368,"R",38368,"R",877005,694944
139719,1 ,2,"R",117488,"R",315175,"R",268,"R",0,"R",29357,"R",252,"R",316620,"R",117740,"R",661420,"R",779160,"R",193,"R",2896,"R",3089,1,"R",72,"R",22,1,"R",8,"R",3,"R",1,"R",3,"R",1,"R",2,"R",317476,2,"Z",0,"R",0,"R",0,"R",140651,"R",140651,"R",0,"R",9100,"R",9100,"R",467227,467227
139755,1 ,2,"R",465762,"R",2721195,"R",699,"R",26314,"R",306319,"R",263019,"R",383370,"R",755095,"R",3411583,"R",4166678,"R",35370,"R",3165377,"R",3200747,1,"R",3867,"R",2782,1,"R",87,"R",23,"R",27,"R",32,"R",5,"R",1,"R",7654100,1,"R",1999720,"R",94445,"R",14345705,"R",0,"R",14440150,"R",0,"R",1940690,"R",1940690,"R",26034660,24034940
139764,1 ,2,"R",205311,"R",27583,"R",242,"R",30609,"R",34,"R",2093,"R",859,"R",238013,"R",28718,"R",266731,"R",2237,"R",266510,"R",268747,1,"R",389,"R",797,1,"R",10.62,"R",2,"R",2,"R",4,"R",2.62,"R",0,"R",375633,1,"R",139506,"R",50,"R",31389,"R",36644,"R",68083,"R",0,"R",71517,"R",71517,"R",654739,515233
139861,1 ,2,"R",168773,"R",881702,"R",294,"R",11333,"R",85235,"R",3041,"R",185004,"R",183147,"R",1152235,"R",1335382,"R",2919,"R",376078,"R",378997,1,"R",597,"R",1213,1,"R",46,"R",9,"R",1,"R",7,"R",29,"R",0,"R",1022912,2,"Z",0,"R",93891,"R",245117,"R",19152,"R",358160,"R",12317,"R",192859,"R",205176,"R",1586248,1586248
139931,1 ,2,"R",588595,"R",1151046,"R",315,"R",49042,"R",193852,"R",14162,"R",125822,"R",651799,"R",1471035,"R",2122834,"R",12896,"R",786841,"R",799737,1,"R",7113,"R",7053,1,"R",83.4,"R",23,"R",2,"R",45,"R",13.4,"R",2,"R",2991703,1,"R",892430,"R",234512,"R",2276382,"R",28328,"R",2539222,"R",9250,"R",571490,"R",580740,"R",7004095,6111665
139940,1 ,2,"R",1064361,"R",1700096,"R",689,"R",101757,"R",244761,"R",36089,"R",364258,"R",1202207,"R",2309804,"R",3512011,"R",22619,"R",1531600,"R",1554219,1,"R",8678,"R",6649,1,"R",125.7,"R",47.1,"R",12,"R",43.3,"R",23.3,"R",1,"R",5853092,2,"Z",0,"R",566708,"R",5703074,"R",96986,"R",6366768,"R",100331,"R",1841225,"R",1941556,"R",14161416,14161416
139959,1 ,2,"R",4080285,"R",1269667,"Z",0,"R",644890,"R",215817,"R",95759,"R",238815,"R",4820934,"R",1724299,"R",6545233,"R",74869,"R",808475,"R",883344,1,"R",17313,"R",7814,1,"R",274,"R",82,"R",29,"R",109,"R",54,"R",15,"R",12223162,2,"Z",0,"R",1812130,"R",12591227,"R",619471,"R",15022828,"R",172826,"R",2025621,"R",2198447,"R",29444437,29444437
139968,1 ,2,"R",83547,"R",691568,"R",313,"R",10396,"R",1377,"R",723,"R",99467,"R",94666,"R",792725,"R",887391,"R",2351,"R",29023,"R",31374,1,"R",201,"R",98,1,"R",9,"R",4,"R",2,"R",0,"R",3,"R",0,"R",291972,1,"R",113144,"R",42000,"R",50000,"R",0,"R",92000,"R",0,"R",0,"R",0,"R",497116,383972
139986,1 ,2,"R",41764,"R",643365,"R",235,"R",946,"R",7967,"R",0,"R",82432,"R",42710,"R",733999,"R",776709,"R",823,"R",67893,"R",68716,1,"R",1,"R",0,1,"R",8,"R",3,"R",4,"R",0,"R",1,"R",2,"R",241725,2,"Z",0,"R",0,"R",15000,"R",230,"R",15230,"R",1500,"R",5000,"R",6500,"R",263455,263455
139995,2 ,2,"R",1205,"R",0,"R",0,"R",30,"R",0,"R",10,"R",0,"R",1245,"R",0,"R",1245,"R",1025,"R",0,"R",1025,2,"A",,"A",,1,"R",1,"R",0,"R",1,"R",0,"R",0,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
140003,2 ,2,"R",0,"Z",0,"Z",0,"R",15,"R",64,"Z",0,"Z",0,"R",15,"R",64,"R",79,"R",12,"R",65,"R",77,2,"A",,"A",,2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
140012,1 ,2,"R",14185,"R",606502,"R",260,"R",78,"R",88864,"R",32,"R",0,"R",14295,"R",695626,"R",709921,"R",606,"R",96377,"R",96983,1,"R",0,"R",2,1,"R",6,"R",3,"R",2,"R",0,"R",1,"R",1,"R",243539,1,"R",146435,"R",12130,"R",58578,"R",0,"R",70708,"R",0,"R",4227,"R",4227,"R",464909,318474
140234,1 ,2,"R",93799,"R",681500,"R",300,"R",8829,"R",2620781,"R",27,"R",40,"R",102655,"R",3302621,"R",3405276,"R",3016,"R",2321410,"R",2324426,1,"R",425,"R",200,1,"R",15,"R",2,"R",0,"R",5,"R",8,"R",0,"R",301826,2,"Z",0,"R",12797,"R",171339,"R",871,"R",185007,"R",2320,"R",0,"R",2320,"R",489153,489153
140243,1 ,2,"R",10254,"R",468866,"R",207,"R",570,"R",47112,"R",59,"R",95558,"R",10883,"R",611743,"R",622626,"R",1547,"R",31174,"R",32721,1,"R",34,"R",3,1,"R",6,"R",4,"R",0,"R",2,"R",0,"R",4,"R",321086,1,"R",156570,"R",50539,"R",40249,"R",416,"R",91204,"R",0,"R",0,"R",0,"R",568860,412290
140252,1 ,2,"R",26599,"R",687884,"R",258,"R",1602,"R",51104,"R",256,"R",85074,"R",28457,"R",824320,"R",852777,"R",1464,"R",21164,"R",22628,1,"R",1604,"R",117,1,"R",13,"R",4,"R",6,"R",2,"R",1,"R",0,"R",731880,2,"Z",0,"R",147590,"R",328350,"R",1539,"R",477479,"R",9710,"R",49585,"R",59295,"R",1268654,1268654
140331,1 ,2,"R",43475,"R",719043,"R",20,"R",1642,"R",80426,"R",33,"R",0,"R",45150,"R",799489,"R",844639,"R",4023,"R",54963,"R",58986,1,"R",6,"R",4,1,"R",18,"R",9.5,"R",0,"R",6.5,"R",2,"R",6,"R",719728,2,"Z",0,"R",47420,"R",30464,"R",0,"R",77884,"R",0,"R",23367,"R",23367,"R",820979,820979
140340,1 ,2,"R",27,"R",374896,"R",118,"R",0,"R",113478,"R",23,"R",80938,"R",50,"R",569430,"R",569480,"R",1,"R",411275,"R",411276,1,"R",0,"R",1,1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",37832,1,"R",9458,"R",5994,"R",45177,"R",82,"R",51253,"R",0,"R",22863,"R",22863,"R",121406,111948
140447,1 ,2,"R",293362,"R",2265827,"R",320,"R",7892,"R",129209,"R",3759,"R",260644,"R",305013,"R",2656000,"R",2961013,"R",17020,"R",515152,"R",532172,1,"R",2076,"R",4967,1,"R",66,"R",26,"R",16,"R",3,"R",21,"R",4,"R",2737473,1,"R",1162403,"R",306564,"R",3184448,"R",122153,"R",3613165,"R",0,"R",393572,"R",393572,"R",7906613,6744210
140562,1 ,2,"R",2689,"R",2431,"R",23,"R",0,"R",0,"R",11060,"R",15762,"R",13749,"R",18216,"R",31965,"R",381,"R",118519,"R",118900,1,"R",392,"R",299,1,"R",12,"R",4,"R",0,"R",5,"R",3,"R",0,"R",565633,1,"R",157988,"R",4259,"R",1691956,"R",1006,"R",1697221,"R",375,"R",23390,"R",23765,"R",2444607,2286619
140678,1 ,2,"R",22476,"R",715117,"R",236,"R",3436,"R",963,"R",0,"R",236802,"R",25912,"R",953118,"R",979030,"R",981,"R",1713,"R",2694,1,"R",57,"R",17,1,"R",5,"R",2,"R",2,"R",0,"R",1,"R",2,"R",198524,2,"Z",0,"R",16880,"R",0,"R",0,"R",16880,"R",0,"R",0,"R",0,"R",215404,215404
