UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
193380,"R",5,"R",541715,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",241984,"R",2,"R",185481,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",114250,"Z",0,"Z",0,"Z",0,"Z",0
193399,"R",241,"R",16839454,"R",1,"R",100399,"Z",0,"Z",0,"R",20,"R",1274179,"R",50,"R",5013024,"R",17,"R",1328791,"R",10,"R",795756,"R",22,"R",1658704,"Z",0,"Z",0,"R",81,"R",3138208,"R",1,"R",76333,"R",28,"R",2886907,"R",11,"R",567153,"Z",0,"Z",0
193478,"R",459,"R",35207722,"Z",0,"Z",0,"Z",0,"Z",0,"R",65,"R",6065719,"R",40,"R",5046394,"R",27,"R",1991405,"R",82,"R",7382618,"R",1,"R",77844,"R",2,"R",120386,"R",58,"R",3279996,"Z",0,"Z",0,"R",153,"R",9131115,"R",27,"R",1815525,"R",4,"R",296720
193584,"R",249,"R",16290611,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",1456035,"R",63,"R",6540573,"R",23,"R",1575643,"R",23,"R",1413712,"R",49,"R",2658356,"R",8,"R",376803,"R",13,"R",586739,"Z",0,"Z",0,"R",47,"R",1662355,"Z",0,"Z",0,"R",1,"R",20395
193654,"R",931,"R",81596432,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",3493206,"R",437,"R",49203531,"R",78,"R",5931467,"R",59,"R",4806801,"R",20,"R",1567352,"R",4,"R",476050,"R",130,"R",6585299,"Z",0,"Z",0,"R",80,"R",4792033,"R",69,"R",4678937,"R",1,"R",61756
193751,"R",111,"R",7525203,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",938998,"R",28,"R",3711978,"R",8,"R",493837,"R",10,"R",533541,"R",2,"R",112011,"Z",0,"Z",0,"R",13,"R",467605,"Z",0,"Z",0,"R",29,"R",1058755,"R",4,"R",208478,"Z",0,"Z",0
193821,"R",108,"R",11160921,"Z",0,"Z",0,"Z",0,"Z",0,"R",37,"R",3163465,"R",25,"R",4520103,"R",15,"R",1374532,"R",1,"R",78013,"R",10,"R",776000,"Z",0,"Z",0,"R",4,"R",235380,"Z",0,"Z",0,"R",16,"R",1013428,"Z",0,"Z",0,"Z",0,"Z",0
193830,"R",24,"R",2371120,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",1473535,"R",5,"R",353017,"R",1,"R",69492,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",475076,"Z",0,"Z",0,"Z",0,"Z",0
193858,"R",18,"R",1001000,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",676000,"R",2,"R",200000,"R",1,"R",52000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",23000,"R",2,"R",50000,"Z",0,"Z",0
193894,"R",9,"R",638500,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",187000,"R",3,"R",281500,"R",1,"R",55000,"R",1,"R",45000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",70000,"Z",0,"Z",0,"Z",0,"Z",0
193900,"R",6968,"R",659099711,"R",1084,"R",88362971,"Z",0,"Z",0,"R",1190,"R",97331136,"R",777,"R",143148245,"R",826,"R",78050328,"R",802,"R",84124443,"R",444,"R",35824919,"R",150,"R",14182650,"R",473,"R",32353737,"R",6,"R",373828,"R",1080,"R",72129990,"R",124,"R",12155426,"R",12,"R",1062038
193946,"R",188,"R",10640983,"Z",0,"Z",0,"Z",0,"Z",0,"R",35,"R",1886483,"R",30,"R",2715499,"R",8,"R",546007,"R",8,"R",498107,"R",5,"R",260848,"R",2,"R",99565,"R",36,"R",1614825,"Z",0,"Z",0,"R",55,"R",2610905,"R",9,"R",408744,"Z",0,"Z",0
193973,"R",333,"R",20679053,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",921410,"R",101,"R",8842172,"R",44,"R",2321186,"R",21,"R",1198761,"R",52,"R",3332875,"R",10,"R",506479,"R",16,"R",634809,"Z",0,"Z",0,"R",49,"R",1771195,"R",20,"R",1036917,"R",3,"R",113249
194028,"R",65,"R",3686753,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",415533,"R",7,"R",757716,"R",6,"R",453101,"R",6,"R",302145,"R",5,"R",340999,"Z",0,"Z",0,"R",10,"R",309755,"Z",0,"Z",0,"R",19,"R",938403,"R",4,"R",169101,"Z",0,"Z",0
194073,"R",55,"R",4669385,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",138652,"R",6,"R",1327260,"R",3,"R",273300,"R",8,"R",537527,"R",1,"R",90500,"R",7,"R",413500,"R",1,"R",75000,"Z",0,"Z",0,"R",24,"R",1616426,"R",3,"R",197220,"Z",0,"Z",0
194091,"R",423,"R",38326840,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",1449126,"R",184,"R",21218591,"R",32,"R",2197462,"R",47,"R",4102393,"R",14,"R",1531679,"R",1,"R",70000,"R",56,"R",3341638,"Z",0,"Z",0,"R",51,"R",2563954,"R",19,"R",1793459,"R",1,"R",58538
194116,"R",48,"R",3985752,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",439404,"R",18,"R",2321320,"R",2,"R",149303,"R",4,"R",231370,"R",5,"R",287331,"Z",0,"Z",0,"R",3,"R",131817,"Z",0,"Z",0,"R",8,"R",425207,"Z",0,"Z",0,"Z",0,"Z",0
194161,"R",91,"R",5458631,"Z",0,"Z",0,"Z",0,"Z",0,"R",29,"R",1390600,"R",14,"R",1533687,"R",2,"R",128724,"R",3,"R",227049,"R",26,"R",1413139,"R",1,"R",46818,"R",1,"R",50000,"Z",0,"Z",0,"R",15,"R",668614,"Z",0,"Z",0,"Z",0,"Z",0
194189,"R",6,"R",402156,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",180660,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",196496,"Z",0,"Z",0,"R",1,"R",25000,"Z",0,"Z",0,"Z",0,"Z",0
194222,"R",306,"R",18338646,"Z",0,"Z",0,"Z",0,"Z",0,"R",42,"R",3126058,"R",69,"R",6018372,"R",31,"R",1773960,"R",13,"R",920509,"R",22,"R",970864,"Z",0,"Z",0,"R",64,"R",2551407,"Z",0,"Z",0,"R",47,"R",2084167,"R",11,"R",585876,"R",7,"R",307433
194240,"R",254,"R",15247349,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1491407,"R",37,"R",2809905,"R",39,"R",2363208,"R",21,"R",1179329,"R",34,"R",1851707,"R",1,"R",70710,"R",24,"R",1236732,"Z",0,"Z",0,"R",61,"R",3448747,"R",12,"R",795604,"Z",0,"Z",0
194310,"R",937,"R",76067091,"Z",0,"Z",0,"Z",0,"Z",0,"R",26,"R",1980130,"R",243,"R",29441517,"R",138,"R",9932899,"R",119,"R",9864195,"R",166,"R",11685429,"R",8,"R",758110,"R",21,"R",1494500,"Z",0,"Z",0,"R",201,"R",9845669,"R",6,"R",591273,"R",9,"R",473369
194392,"R",89,"R",5587276,"R",7,"R",375000,"R",7,"R",380700,"R",24,"R",1062850,"R",6,"R",720000,"R",1,"R",64168,"R",2,"R",80000,"R",20,"R",1999000,"R",1,"R",45000,"R",10,"R",357158,"R",2,"R",83400,"R",9,"R",420000,"Z",0,"Z",0,"Z",0,"Z",0
194499,"R",61,"R",6584419,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",82896,"R",3,"R",2131469,"Z",0,"Z",0,"R",2,"R",172142,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",51,"R",4082200,"R",3,"R",115712,"Z",0,"Z",0
194569,"R",6,"R",341320,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",92000,"R",2,"R",152500,"R",1,"R",62500,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",34320,"Z",0,"Z",0,"Z",0,"Z",0
