UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
101277,58,999,"R",37,"R",3
101277,99, 99,"R",37,"R",3
101286, 1,  1,"R",720,"R",491
101286,12, 12,"R",15,"R",9
101286,13, 13,"R",25,"R",14
101286,22, 22,"R",1,"R",1
101286,26, 26,"R",1,"R",1
101286,58,999,"R",762,"R",516
101286,98, 98,"R",8,"A",
101286,99, 99,"R",770,"R",516
101295, 1,  1,"R",1263,"R",973
101295, 5,  5,"R",1,"R",1
101295, 9,  9,"R",1,"R",0
101295,12, 12,"R",3,"R",2
101295,13, 13,"R",7,"R",4
101295,20, 20,"R",1,"R",1
101295,25, 25,"R",1,"R",0
101295,26, 26,"R",1,"R",1
101295,28, 28,"R",3,"R",3
101295,47, 47,"R",3,"R",2
101295,48, 48,"R",2,"R",1
101295,57, 57,"R",3,"R",1
101295,58,999,"R",1289,"R",989
101295,98, 98,"R",7,"A",
101295,99, 99,"R",1296,"R",989
101301, 1,  1,"R",265,"R",198
101301,12, 12,"R",2,"R",1
101301,58,999,"R",267,"R",199
101301,98, 98,"R",6,"A",
101301,99, 99,"R",273,"R",199
101365, 1,  1,"R",87,"R",3
101365,13, 13,"R",7,"R",1
101365,22, 22,"R",2,"Z",0
101365,28, 28,"R",3,"Z",0
101365,58,999,"R",99,"R",4
101365,99, 99,"R",99,"R",4
101435, 1,  1,"R",176,"R",174
101435, 6,  6,"R",1,"R",1
101435, 8,  8,"R",1,"R",1
101435,12, 12,"R",33,"R",32
101435,13, 13,"R",25,"R",25
101435,22, 22,"R",3,"R",3
101435,24, 24,"R",2,"R",2
101435,28, 28,"R",3,"R",3
101435,32, 32,"R",1,"R",1
101435,34, 34,"R",1,"R",1
101435,37, 37,"R",2,"R",2
101435,39, 39,"R",1,"R",1
101435,40, 40,"R",1,"R",1
101435,45, 45,"R",1,"R",1
101435,47, 47,"R",4,"R",4
101435,48, 48,"R",1,"R",1
101435,51, 51,"R",2,"R",2
101435,58,999,"R",258,"R",255
101435,99, 99,"R",258,"R",255
101453, 1,  1,"R",1,"R",1
101453,47, 47,"R",1,"R",1
101453,58,999,"R",2,"R",2
101453,90, 90,"R",1,"Z",0
101453,99, 99,"R",3,"R",2
101462, 1,  1,"R",128,"R",74
101462, 2,  2,"R",1,"R",0
101462, 5,  5,"R",1,"R",1
101462,12, 12,"R",1,"Z",0
101462,47, 47,"R",2,"R",1
101462,58,999,"R",133,"R",76
101462,98, 98,"R",4,"A",
101462,99, 99,"R",137,"R",76
101471, 1,  1,"R",467,"Z",0
101471,58,999,"R",467,"Z",0
101471,99, 99,"R",467,"Z",0
101480, 1,  1,"R",1399,"R",1286
101480, 6,  6,"R",1,"R",0
101480,12, 12,"R",15,"R",10
101480,13, 13,"R",424,"R",395
101480,17, 17,"R",3,"R",2
101480,18, 18,"R",1,"R",1
101480,21, 21,"R",2,"R",2
101480,22, 22,"R",2,"R",2
101480,24, 24,"R",1,"R",1
101480,26, 26,"R",2,"R",2
101480,28, 28,"R",4,"R",2
101480,31, 31,"R",1,"R",1
101480,36, 36,"R",1,"R",1
101480,37, 37,"R",1,"R",1
101480,39, 39,"R",4,"R",4
101480,40, 40,"R",2,"R",2
101480,42, 42,"R",2,"R",1
101480,45, 45,"R",3,"R",3
101480,47, 47,"R",6,"R",6
101480,48, 48,"R",1,"R",1
101480,49, 49,"R",1,"R",0
101480,51, 51,"R",3,"R",3
101480,54, 54,"R",2,"R",2
101480,58,999,"R",1881,"R",1728
101480,90, 90,"R",58,"R",25
101480,98, 98,"R",2,"A",
101480,99, 99,"R",1941,"R",1753
101505, 1,  1,"R",1246,"R",828
101505, 4,  4,"R",1,"R",1
101505, 6,  6,"R",1,"R",0
101505, 8,  8,"R",1,"R",0
101505,12, 12,"R",3,"R",0
101505,13, 13,"R",6,"R",4
101505,21, 21,"R",1,"R",0
101505,28, 28,"R",1,"R",1
101505,37, 37,"R",2,"R",1
101505,39, 39,"R",1,"R",0
101505,42, 42,"R",2,"R",1
101505,45, 45,"R",1,"R",1
101505,47, 47,"R",3,"R",1
101505,48, 48,"R",2,"R",1
101505,51, 51,"R",1,"R",0
101505,54, 54,"R",1,"R",0
101505,58,999,"R",1273,"R",839
101505,98, 98,"R",45,"A",
101505,99, 99,"R",1318,"R",839
101514, 1,  1,"R",1540,"R",1188
101514, 4,  4,"R",1,"R",0
101514, 8,  8,"R",1,"R",1
101514,12, 12,"R",2,"R",2
101514,13, 13,"R",4,"R",4
101514,16, 16,"R",1,"R",0
101514,17, 17,"R",2,"R",2
101514,18, 18,"R",2,"R",0
101514,21, 21,"R",1,"R",1
101514,25, 25,"R",1,"R",1
101514,27, 27,"R",1,"R",1
101514,28, 28,"R",1,"R",1
101514,29, 29,"R",1,"R",1
101514,37, 37,"R",1,"R",0
101514,47, 47,"R",26,"R",19
101514,48, 48,"R",1,"R",1
101514,51, 51,"R",2,"R",2
101514,53, 53,"R",1,"R",0
101514,55, 55,"R",1,"R",1
101514,57, 57,"R",1,"R",0
101514,58,999,"R",1591,"R",1225
101514,90, 90,"R",1,"R",0
101514,98, 98,"R",33,"A",
101514,99, 99,"R",1625,"R",1225
101569, 1,  1,"R",644,"R",442
101569, 4,  4,"R",1,"R",1
101569, 6,  6,"R",1,"R",0
101569,12, 12,"R",4,"R",4
101569,13, 13,"R",7,"R",7
101569,24, 24,"R",1,"R",1
101569,26, 26,"R",1,"R",0
101569,28, 28,"R",1,"R",0
101569,36, 36,"R",1,"R",1
101569,39, 39,"R",1,"R",0
101569,42, 42,"R",2,"R",1
101569,47, 47,"R",6,"R",4
101569,48, 48,"R",1,"R",1
101569,58,999,"R",671,"R",462
101569,98, 98,"R",7,"A",
101569,99, 99,"R",678,"R",462
101587, 1,  1,"R",251,"R",178
101587,12, 12,"R",8,"R",6
101587,13, 13,"R",4,"R",3
101587,21, 21,"R",1,"R",1
101587,22, 22,"R",2,"R",2
101587,28, 28,"R",22,"R",17
101587,45, 45,"R",1,"R",1
101587,48, 48,"R",2,"R",2
101587,58,999,"R",291,"R",210
101587,90, 90,"R",9,"R",0
101587,98, 98,"R",9,"A",
101587,99, 99,"R",309,"R",210
101602, 1,  1,"R",396,"R",360
101602, 5,  5,"R",1,"R",0
101602,12, 12,"R",12,"R",12
101602,13, 13,"R",5,"R",4
101602,28, 28,"R",1,"R",1
101602,57, 57,"R",1,"R",1
101602,58,999,"R",416,"R",378
101602,98, 98,"R",2,"A",
101602,99, 99,"R",418,"R",378
101648, 1,  1,"R",84,"R",75
101648, 2,  2,"R",1,"R",1
101648, 4,  4,"R",1,"R",1
101648, 6,  6,"R",5,"R",5
101648, 8,  8,"R",2,"R",1
101648, 9,  9,"R",5,"R",5
101648,12, 12,"R",16,"R",15
101648,13, 13,"R",7,"R",3
101648,17, 17,"R",2,"R",2
101648,18, 18,"R",1,"R",1
101648,19, 19,"R",2,"R",1
101648,20, 20,"R",1,"R",1
101648,21, 21,"R",2,"R",2
101648,22, 22,"R",2,"R",2
101648,24, 24,"R",1,"R",1
101648,25, 25,"R",2,"R",1
101648,26, 26,"R",1,"R",1
101648,27, 27,"R",1,"R",1
101648,28, 28,"R",10,"R",9
101648,29, 29,"R",1,"R",1
101648,34, 34,"R",6,"R",6
101648,36, 36,"R",6,"R",6
101648,37, 37,"R",1,"R",1
101648,39, 39,"R",1,"R",1
101648,40, 40,"R",1,"R",0
101648,41, 41,"R",3,"R",3
101648,42, 42,"R",4,"R",4
101648,45, 45,"R",2,"R",2
101648,47, 47,"R",4,"R",3
101648,48, 48,"R",12,"R",10
101648,51, 51,"R",2,"R",1
101648,53, 53,"R",1,"R",1
101648,55, 55,"R",1,"R",1
