UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
112570,"R",55,"R",0,"R",55,"R",15,"R",27,"R",22,"R",40,"R",0,"R",55,"R",2,"R",0,"R",24,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112686,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",311,"R",0,"R",311,"R",20,"R",6,"R",45,"R",14,"R",0,"R",311,"R",15,"R",29,"R",60,"R",19
112826,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",373,"R",0,"R",373,"R",24,"R",6,"R",77,"R",21,"R",0,"R",373,"R",32,"R",44,"R",109,"R",29
113096,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1176,"R",0,"R",1176,"R",130,"R",11,"R",344,"R",29,"R",0,"R",1176,"R",101,"R",128,"R",445,"R",38
113111,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",536,"R",0,"R",536,"R",69,"R",13,"R",167,"R",31,"R",0,"R",536,"R",34,"R",14,"R",201,"R",38
113193,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",672,"R",0,"R",672,"R",148,"R",22,"R",290,"R",43,"R",0,"R",672,"R",30,"R",11,"R",320,"R",48
113218,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",449,"R",0,"R",449,"R",56,"R",12,"R",150,"R",33,"R",0,"R",449,"R",33,"R",29,"R",183,"R",41
113333,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2500,"R",0,"R",2500,"R",1491,"R",60,"R",1730,"R",69,"R",0,"R",2500,"R",70,"R",12,"R",1800,"R",72
113449,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",92,"R",0,"R",92,"R",31,"R",34,"R",68,"R",74,"Z",0,"R",92,"R",5,"R",0,"R",73,"R",79
113573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1600,"R",0,"R",1600,"R",197,"R",12,"R",471,"R",29,"R",0,"R",1600,"R",96,"R",142,"R",567,"R",35
113582,"R",6,"R",0,"R",6,"R",2,"R",33,"R",2,"R",33,"R",0,"R",6,"R",1,"R",0,"R",3,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
113634,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1364,"R",0,"R",1364,"R",371,"R",27,"R",636,"R",47,"R",0,"R",1364,"R",88,"R",115,"R",724,"R",53
113698,"R",261,"R",0,"R",261,"R",162,"R",62,"R",194,"R",74,"Z",0,"R",261,"R",0,"Z",0,"R",194,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
113856,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1902,"R",0,"R",1902,"R",311,"R",16,"R",568,"R",30,"R",0,"R",1902,"R",118,"R",246,"R",686,"R",36
113980,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2352,"R",0,"R",2352,"R",398,"R",17,"R",901,"R",38,"R",0,"R",2352,"R",147,"R",232,"R",1048,"R",45
114266,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",896,"R",0,"R",896,"R",120,"R",13,"R",317,"R",35,"R",0,"R",896,"R",77,"R",86,"R",394,"R",44
114460,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",94,"R",0,"R",94,"R",12,"R",13,"R",69,"R",73,"Z",0,"R",94,"R",0,"Z",0,"R",69,"R",73
114637,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",62,"R",0,"R",62,"R",38,"R",61,"R",58,"R",94,"Z",0,"R",62,"R",0,"Z",0,"R",58,"R",94
114761,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",7,"R",20,"R",24,"R",69,"R",0,"R",35,"R",2,"R",0,"R",26,"R",74
114789,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2103,"R",0,"R",2103,"R",228,"R",11,"R",498,"R",24,"R",0,"R",2103,"R",96,"R",74,"R",594,"R",28
114813,"R",193,"R",0,"R",193,"R",109,"R",56,"R",130,"R",67,"R",0,"R",193,"R",3,"R",0,"R",133,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
114859,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1881,"R",0,"R",1881,"R",241,"R",13,"R",646,"R",34,"R",0,"R",1881,"R",135,"R",45,"R",781,"R",42
114938,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",438,"R",0,"R",438,"R",63,"R",14,"R",137,"R",31,"R",0,"R",438,"R",33,"R",33,"R",170,"R",39
114947,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",138,"R",0,"R",138,"R",124,"R",90,"R",125,"R",91,"R",0,"R",138,"R",5,"R",0,"R",130,"R",94
115001,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1334,"R",0,"R",1334,"R",251,"R",19,"R",517,"R",39,"R",0,"R",1334,"R",106,"R",104,"R",623,"R",47
115126,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1254,"R",0,"R",1254,"R",242,"R",19,"R",524,"R",42,"R",0,"R",1254,"R",90,"R",22,"R",614,"R",49
115296,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1659,"R",0,"R",1659,"R",176,"R",11,"R",491,"R",30,"R",0,"R",1659,"R",98,"R",135,"R",589,"R",36
115357,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",59,"R",0,"R",59,"R",10,"R",17,"R",47,"R",80,"Z",0,"R",59,"R",0,"Z",0,"R",47,"R",80
115393,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",959,"R",0,"R",959,"R",175,"R",18,"R",338,"R",35,"R",0,"R",959,"R",58,"R",71,"R",396,"R",41
115409,"R",192,"R",0,"R",192,"R",162,"R",84,"R",178,"R",93,"R",0,"R",192,"R",1,"R",0,"R",179,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
115658,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15,"R",0,"R",15,"R",3,"R",20,"R",12,"R",80,"R",0,"R",15,"R",0,"R",0,"R",12,"R",80
115728,"R",88,"R",0,"R",88,"R",24,"R",27,"R",34,"R",39,"R",0,"R",88,"R",1,"R",29,"R",35,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
115755,"R",1364,"R",0,"R",1364,"R",300,"R",22,"R",675,"R",49,"R",0,"R",1364,"R",43,"R",9,"R",718,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
